Image File Name,Image Location,Title of Work,Interpretive Text,Creator,Year,Subject/Theme
Bizzell Entrance,https://www.dropbox.com/s/liumihw1iwx4xl1/Bizzell%20Entrance.png?dl=0,Bizzell Entrance ,Architectural drawing of the Bizzell Memorial Library which was completed in 1929. The style of this building reflects a broader styling of early 20th century Architecture as it is similar to Brookings Hall at Washington University in St Louis which was completed in 1902.   ,"Layton, Hicks, and Forsyth Architects",1928,University building
Bizzell Detail,https://www.dropbox.com/s/4lzzgdrz7yfis6o/Bizzell%20Detail.png?dl=0,Bizzell Details,Details of Architectural drawing of the building details of the Bizzell Memorial Library show the attention to classical stylings for modern buildings. ,"Layton, Hicks, and Forsyth Architects",1928,University building
Sorey Union Drawing,https://www.dropbox.com/s/k93upxokwd8pih1/Sorey%20Union%20Drawing.png?dl=0,Memorial Union Drawing,"Tom Sorey and Walter Vahlberg were two designers based in Oklahoma City and educated in the Beaux Art system, the most important pedagogical approach in the US during the 1920s.",Sorey and Vahlberg Architects,1927,University building
Jeffries_nodate_001,https://www.dropbox.com/s/fg5h6d3cvj2iqm6/Jeffries_nodate_001.jpg?dl=0,"Costumes and Ballroom for a Beaux Arts Ball, 32ndParis Price competition entry","During the early years under Joe Smay’s direction, the School of Architecture cooperated with the New York Beaux-Arts Institute of Design. Professors assigned themes approved/proposed by the Beaux-Arts Institute and students participated in its competitions. In 1939Nat Baker, Joe Boaz and Paul Jeffries, three students of architecture, won the preliminary stage of the prestigious Paris Prize. Jeffries, the only participant from a state west of the Mississippi during the final stage, was awarded seventh place for the Costumes and Ballroom for a Beaux Arts Ball inspired by Inca’s motifs. The study of the past was still considered important at the end of the 1930s but the project by Jeffries declares the new desire of modern architectural solutions, avoiding classical sources and an excessive use of decoration.",P.F. Jeffries,,Class Project-Watercolor
Greek Column,https://www.dropbox.com/s/qq9cjgx651ul7fc/Greek%20Column.png?dl=0,"A Greek Ionic Column, Exercise for Arch 62 course “Shades, Shadow and perspective”. Picture taken from Report Compiled for the Association of Collegiate Schools of Architecture","Their project for the Oklahoma Memorial Union Building (1928-29) reflected the theories of American collegiate architecture, inspired by a historicist vision. The design was opposed to contemporary modern trends in architecture. The drawings show a traditional understanding of design problems and represent an important commentary on architecture in Oklahoma at the beginning of the last century. In 1920 Tom Sorey was in charge of the drawing department at the College of Engineering at OU. In the academic year 1924-25 Sorey had responsibility for teaching the courses in the first curriculum in architectural engineering.",J.M. Bell,1930,Class Project-Watercolor
Farmer's Trust,https://www.dropbox.com/s/kjlb9u7z717niea/Farmer%27s%20Trust.png?dl=0,"Front elevation and details for a Farmers Trust Company building, Exercise for Arch 61 course “Shades, Shadow and perspective”.",The first work in the course consisted of determining the shades and shadows on and cast by various shaped figures. The plate here reproduced should be considered a preliminary study of the so called “Analytique” to which about five weeks was allowed at the end of the course. The “Analytique” or order problem was a design problem in proportion and in the elements of architecture and their relationship with the whole design.,,1930,Class Project-Watercolor
Jupiter Temple,https://www.dropbox.com/s/uvvsntty05cnzh0/Jupiter%20Temple.png?dl=0,"Temple de Jupiter Stator a Rome, Exercise for Arch 62 course “Shades, Shadow and perspective”. Picture taken from Report Compiled for the Association of Collegiate Schools of Architecture.",After several weeks of descriptive geometry exercises the students were required to apply their knowledge to architectural elements. In this drawing the student designed hypothetical ornament details of the Temple of Jupiter Stator in Rome. The floral element shadows are cast accurately in India ink washes.,Al M. Kendall,1930,Class Project-Watercolor
Doorway to Architect's Building,https://www.dropbox.com/s/lpry3p3gxavigxi/Doorway%20to%20Architect%27s%20Building.png?dl=0,"Doorway to an Architects Building, Exercise for Arch 62 course “Shades, Shadow and perspective”. Picture taken from Report Compiled for the Association of Collegiate Schools of Architecture.","This plate was prepared as a 2nd year design problem. As described in the label for “Front elevation and details for a Farmers Trust Company building” this is a typical example of a preliminary “Analytique”. The student was required to work on design solutions for the façade, ornament details, columns and their capitals. ",Al M. Kendall,1930,Class Project-Watercolor
Opacity_001,https://www.dropbox.com/s/4s6to2jfr5nqyhk/Opacity_001.jpg?dl=0,Opacity,"The arrival of Bruce Goff constituted a turning point in the architectural education at OU. Thanks to Goff the ancient precedents and study of classical ornament were no longer considered the focus of the school. On the contrary Goff envisioned a new pedagogical approach and encouraged unusual and modern designs. Often inspired by keywords, music, and poems, Goff’s students designed architectural concepts reflecting their own creativity. This set of drawings, prepared by Donald K. Olsen for the 4thyear design studio course taught by Goff, is an example of the new pedagogy established by Goff at OU.",Donald Olsen,,Class project-watercolor
Depth_001,https://www.dropbox.com/s/jurbpntig70y1dq/Depth_001.jpg?dl=0,Depth student assignment,If we compare these quick sketches by Donald K. Olsen to the drawings developed during the 1930s at OU we can see the difference between Goff’s ideals and the traditional approach to architecture. We should understand these drawings as a declaration of independence from the classical design problems and assignments prepared by the Beaux-Arts Institute in New York.,Donald Olsen,,Class project-watercolor
